"","CreditScore","FirstPmt","FirstTimeHomebuyer","Maturity Date","MSA Code","MI Percentage","Number of Units","Occupancy Status","CLTV","DTI","UPB","LTV","Interest Rate","Channel","PPM","Product","State","Property Type","Postal Code","Loan Sequence Number","Loan Purpose","Original Term","Borrower Num","Seller Name","Servicer Name","Super Conforming","NPV"
"825","745","199903","2","202902","29940","0","1","2","80","25","124000","80","6.875","3","2","1","18","6","66000","825","1","360","2","299","10",NA,"19949.3857887101"
"826","753","199903","2","202902","42644","0","1","2","55","23","120000","55","6.875","3","2","1","50","6","98000","826","3","360","2","299","10",NA,"19301.0199998522"
"827","657","199903","2","202902",NA,"36","1","2","95","39","147000","95","6.875","3","2","1","52","6","25200","827","3","360","2","299","10",NA,"14433.7032145525"
"828","730","199903","2","202902","17820","30","1","2","95","36","214000","95","6.75","4","2","1","6","6","80800","828","3","360","2","299","10",NA,"20265.460994457"
"829","737","199902","2","202901",NA,"30","1","2","95","24","71000","95","6.875","4","2","1","20","6","70500","829","3","360","2","299","10",NA,"11124.3972006365"
"830","703","199903","2","202902",NA,"0","1","2","77","8","83000","77","6.875","4","2","1","38","6","74000","830","2","360","2","299","10",NA,"12356.4723414783"
"831","770","199903","2","202902","33340","0","1","2","69","49","93000","69","6.875","4","2","1","51","6","53100","831","1","360","2","299","10",NA,"8841.53254080542"
"832","660","199903","2","202902","14020","0","1","2","79","26","189000","79","7.125","3","2","1","17","6","47400","832","2","360","2","299","10",NA,"58015.9732943487"
"833","663","199903","2","202902","13644","0","1","2","75","37","205000","75","7","4","2","1","22","6","20800","833","1","360","2","299","10",NA,"28128.5929136132"
"834","712","199903","2","202902","19740","0","1","2","75","22","212000","75","7","4","2","1","6","5","80100","834","2","360","2","299","10",NA,"28173.62705144"
"835","656","199903","2","202902","35380","0","1","2","75","15","120000","75","6.875","3","3","1","20","6","70000","835","2","360","1","299","10",NA,"15225.6408191514"
"836","706","199903","2","202902","23420","17","1","2","80","25","84000","80","7.625","4","2","1","5","6","93700","836","1","360","2","299","17",NA,"34617.9090798355"
